"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongDateComparator2Years record1Value","[0] SongDateComparator2Years record2Value","[0] SongDateComparator2Years record1PreprocessedValue","[0] SongDateComparator2Years record2PreprocessedValue","[0] SongDateComparator2Years similarity","[0] SongDateComparator2Years postproccesedSimilarity","[1] AlbumTitleComparatorContainment record1Value","[1] AlbumTitleComparatorContainment record2Value","[1] AlbumTitleComparatorContainment record1PreprocessedValue","[1] AlbumTitleComparatorContainment record2PreprocessedValue","[1] AlbumTitleComparatorContainment similarity","[1] AlbumTitleComparatorContainment postproccesedSimilarity","[2] SongArtistsComparatorGenMaxContainment record1Value","[2] SongArtistsComparatorGenMaxContainment record2Value","[2] SongArtistsComparatorGenMaxContainment record1PreprocessedValue","[2] SongArtistsComparatorGenMaxContainment record2PreprocessedValue","[2] SongArtistsComparatorGenMaxContainment similarity","[2] SongArtistsComparatorGenMaxContainment postproccesedSimilarity","[3] SongTrackAnomalityComparatorLevenshteinSimilarity record1Value","[3] SongTrackAnomalityComparatorLevenshteinSimilarity record2Value","[3] SongTrackAnomalityComparatorLevenshteinSimilarity record1PreprocessedValue","[3] SongTrackAnomalityComparatorLevenshteinSimilarity record2PreprocessedValue","[3] SongTrackAnomalityComparatorLevenshteinSimilarity similarity","[3] SongTrackAnomalityComparatorLevenshteinSimilarity postproccesedSimilarity"
"LinearCombinationMatchingRule","spotify_22339","deezer_24121","0.07142857142857142",,"2019-05-02T00:00","2022-09-21T00:00","2019-05-02T00:00","2022-09-21T00:00","0.0","0.0",,,"her private life original television soundtrack pt 4","the rains came","0.0","0.0","lee hae ri","petula clark","lee hae ri","petula clark","0.0","0.0","maybe","majorca","maybe","majorca","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","spotify_21341","deezer_4853","0.10714285714285715",,"2022-09-21T00:00","2004-03-24T00:00","2022-09-21T00:00","2004-03-24T00:00","0.0","0.0",,,"curtain","madvillainy","0.0","0.0","kei sugawara","madvillain","kei sugawara","madvillain","0.0","0.0","curtain","curls","curtain","curls","0.4285714285714286","0.4285714285714286"
"LinearCombinationMatchingRule","spotify_4372","deezer_9807","0.1",,"2015-10-23T00:00","2007-03-12T00:00","2015-10-23T00:00","2007-03-12T00:00","0.0","0.0",,,"storyteller","introducing joss stone","0.0","0.0","carrie underwood","joss stone","carrie underwood","joss stone","0.0","0.0","heartbeat","headturner","heartbeat","headturner","0.4","0.4"
"LinearCombinationMatchingRule","spotify_16999","deezer_9205","0.1111111111111111",,"2022-03-30T00:00","1978-10-17T00:00","2022-03-30T00:00","1978-10-17T00:00","0.0","0.0",,,"someday","blue valentine","0.0","0.0","dani mack","tom waits","dani mack","tom waits","0.0","0.0","someday","somewhere","someday","somewhere","0.4444444444444444","0.4444444444444444"
"LinearCombinationMatchingRule","spotify_4266","deezer_14665","0.08333333333333334",,"2013-10-26T00:00","2017-04-14T00:00","2013-10-26T00:00","2017-04-14T00:00","0.0","0.0",,,"dark holler pop","damn","0.0","0.0","mipso","kendrick lamar,zacari","mipso","kendrick lamar,zacari","0.0","0.0","louise","love.","louise","love","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","spotify_21576","deezer_2405","0.07142857142857142",,"2020-01-13T00:00","2007-08-23T00:00","2020-01-13T00:00","2007-08-23T00:00","0.0","0.0",,,"black dog being a teacher original television soundtrack pt 3","everybody else is doing it so why cant we","0.0","0.0","klang","the cranberries","klang","the cranberries","0.0","0.0","horizon","how","horizon","how","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","spotify_36553","deezer_20204","0.0625",,"2019-11-22T00:00","2010-08-13T00:00","2019-11-22T00:00","2010-08-13T00:00","0.0","0.0",,,"everyday life","lost hits of the 60s all original artists  versions","0.0","0.0","coldplay","kyu sakamoto","coldplay","kyu sakamoto","0.0","0.0","sunrise","sukiyaki","sunrise","sukiyaki","0.25","0.25"
"LinearCombinationMatchingRule","spotify_38230","deezer_17726","0.06818181818181818",,"2017-05-26T00:00","2021-04-28T00:00","2017-05-26T00:00","2021-04-28T00:00","0.0","0.0",,,"true to self","qalf infinity","0.0","0.0","bryson tiller","damso","bryson tiller","damso","0.0","0.0","self-made","sentimental","selfmade","sentimental","0.2727272727272727","0.2727272727272727"
"LinearCombinationMatchingRule","spotify_5643","deezer_7038","0.06818181818181818",,"1981-10-14T00:00","2003-01-01T00:00","1981-10-14T00:00","2003-01-01T00:00","0.0","0.0",,,"controversy","beneath medicine tree","0.0","0.0","prince","copeland","prince","copeland","0.0","0.0","controversy","coffee","controversy","coffee","0.2727272727272727","0.2727272727272727"
"LinearCombinationMatchingRule","spotify_3329","deezer_14521","0.0625",,"2000-01-01T00:00","2019-04-19T00:00","2000-01-01T00:00","2019-04-19T00:00","0.0","0.0",,,"primitive special edition","cuz i love you","0.0","0.0","soulfly","lizzo","soulfly","lizzo","0.0","0.0","jumpdafuckup","juice","jumpdafuckup","juice","0.25","0.25"
"LinearCombinationMatchingRule","spotify_30628","deezer_5687","0.15",,"2022-07-08T00:00","1994-07-12T00:00","2022-07-08T00:00","1994-07-12T00:00","0.0","0.0",,,"the boy who flew to the moon vol 1","grassroots","0.0","0.0","kid cudi","311","kid cudi","311","0.0","0.0","love.","lose","love","lose","0.6","0.6"
"LinearCombinationMatchingRule","spotify_7573","deezer_604","0.10416666666666666",,"2020-05-15T00:00","1984-06-01T00:00","2020-05-15T00:00","1984-06-01T00:00","0.0","0.0",,,"annihilation","anniemal","0.0","0.0","i_o,lights","annie","io,lights","annie","0.0","0.0","annihilation","anniemal","annihilation","anniemal","0.41666666666666663","0.41666666666666663"
"LinearCombinationMatchingRule","spotify_32982","deezer_13161","0.1",,"2015-01-23T00:00","2011-04-08T00:00","2015-01-23T00:00","2011-04-08T00:00","0.0","0.0",,,"mockroot","original album classics","0.0","0.0","tigran hamasyan","fiona apple","tigran hamasyan","fiona apple","0.0","0.0","lilac","limp","lilac","limp","0.4","0.4"
"LinearCombinationMatchingRule","spotify_36647","deezer_3613","0.25",,"2015-09-25T00:00","2008-04-11T00:00","2015-09-25T00:00","2008-04-11T00:00","0.0","0.0",,,"hamilton original broadway cast recording","konk","0.0","0.0","lin-manuel miranda","the kooks","linmanuel miranda","the kooks","0.0","0.0","one last time","one last time","one last time","one last time","1.0","1.0"
"LinearCombinationMatchingRule","spotify_12532","deezer_14866","0.08333333333333334",,"1994-08-16T00:00","2017-03-17T00:00","1994-08-16T00:00","2017-03-17T00:00","0.0","0.0",,,"come","wanderlust","0.0","0.0","prince","hollow coves","prince","hollow coves","0.0","0.0","come","coastline","come","coastline","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","spotify_6302","deezer_1601","0.15",,"2022-10-07T00:00","2002-09-09T00:00","2022-10-07T00:00","2002-09-09T00:00","0.0","0.0",,,"shine","angels with dirty faces","0.0","0.0","dj susan,broken future","sugababes","dj susan,broken future","sugababes","0.0","0.0","shine","shape","shine","shape","0.6","0.6"
"LinearCombinationMatchingRule","spotify_40632","deezer_16551","0.11956521739130435",,"1999-01-01T00:00","2019-07-19T00:00","1999-01-01T00:00","2019-07-19T00:00","0.0","0.0",,,"always never the same","why do you love me","0.0","0.0","george strait","charlotte lawrence","george strait","charlotte lawrence","0.0","0.0","what do you say to that","why do you love me","what do you say to that","why do you love me","0.4782608695652174","0.4782608695652174"
"LinearCombinationMatchingRule","spotify_31119","deezer_19838","0.03125",,"1960-12-19T00:00","2019-05-31T00:00","1960-12-19T00:00","2019-05-31T00:00","0.0","0.0",,,"ringadingding 50th anniversary edition","zuu","0.0","0.0","frank sinatra","denzel curry","frank sinatra","denzel curry","0.0","0.0","ring-a-ding-ding","ricky","ringadingding","ricky","0.125","0.125"
