"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongArtistsComparatorMaximumOfContainment record1Value","[0] SongArtistsComparatorMaximumOfContainment record2Value","[0] SongArtistsComparatorMaximumOfContainment record1PreprocessedValue","[0] SongArtistsComparatorMaximumOfContainment record2PreprocessedValue","[0] SongArtistsComparatorMaximumOfContainment similarity","[0] SongArtistsComparatorMaximumOfContainment postproccesedSimilarity","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record1Value","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record2Value","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record1PreprocessedValue","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record2PreprocessedValue","[1] SongTrackAnomalityComparatorLevenshteinSimilarity similarity","[1] SongTrackAnomalityComparatorLevenshteinSimilarity postproccesedSimilarity","[2] SongDateComparator2Years record1Value","[2] SongDateComparator2Years record2Value","[2] SongDateComparator2Years record1PreprocessedValue","[2] SongDateComparator2Years record2PreprocessedValue","[2] SongDateComparator2Years similarity","[2] SongDateComparator2Years postproccesedSimilarity","[3] AlbumTitleComparatorLevenshtein record1Value","[3] AlbumTitleComparatorLevenshtein record2Value","[3] AlbumTitleComparatorLevenshtein record1PreprocessedValue","[3] AlbumTitleComparatorLevenshtein record2PreprocessedValue","[3] AlbumTitleComparatorLevenshtein similarity","[3] AlbumTitleComparatorLevenshtein postproccesedSimilarity"
"WekaMatchingRule","spotify_6916","deezer_19508",,"0","whereisalex","scorpions","whereisalex","scorpions","0.0","0.0","shine","follow your heart","shine","follow your heart","0.05882352941176472","0.05882352941176472","2021-02-12T00:00","2017-11-10T00:00","2021-02-12T00:00","2017-11-10T00:00","0.0","0.0",,,"shine","follow your heart","0.05882352941176472","0.05882352941176472"
"WekaMatchingRule","deezer_21018","spotify_38027","4.01114728493719E-4",,"angèle","migos","angèle","migos","0.0","0.0","sunflower","supastars","sunflower","supastars","0.2222222222222222","0.2222222222222222","2022-09-23T00:00","2018-01-26T00:00","2022-09-23T00:00","2018-01-26T00:00","0.0","0.0",,,"sahar","culture ii","0.09999999999999998","0.09999999999999998"
"WekaMatchingRule","deezer_18725","spotify_20438","5.97166467108034E-4",,"michael morales","peggy lee","michael morales","peggy lee","0.0","0.0","who do you give your love to?","why don't you do right (get me some money too)","who do you give your love to","why dont you do right ","0.4347826086956522","0.4347826086956522","2015-02-17T00:00","1998-01-01T00:00","2015-02-17T00:00","1998-01-01T00:00","0.0","0.0",,,"michael morales","the best of miss peggy lee","0.1923076923076923","0.1923076923076923"
"WekaMatchingRule","deezer_10933","spotify_13481","3.92963386287355E-4",,"incubus","wild child","incubus","wild child","0.0","0.0","stellar","stones","stellar","stones","0.2857142857142857","0.2857142857142857","2012-10-30T00:00","2015-10-02T00:00","2012-10-30T00:00","2015-10-02T00:00","0.0","0.0",,,"the essential incubus","fools","0.09523809523809523","0.09523809523809523"
"WekaMatchingRule","deezer_8582","spotify_40287","6.17299600854238E-4",,"crossfade","puddle of mudd","crossfade","puddle of mudd","0.0","0.0","cold","control","cold","control","0.2857142857142857","0.2857142857142857","2004-04-13T00:00","2001-08-28T00:00","2004-04-13T00:00","2001-08-28T00:00","0.0","0.0",,,"crossfade","come clean","0.19999999999999996","0.19999999999999996"
"WekaMatchingRule","deezer_1125","spotify_22320","3.5462424921122213E-4",,"the libertines","gsoul","the libertines","gsoul","0.0","0.0","narcissist","natural","narcissist","natural","0.19999999999999996","0.19999999999999996","2004-08-30T00:00","2021-12-02T00:00","2004-08-30T00:00","2021-12-02T00:00","0.0","0.0",,,"the libertines","natural","0.0714285714285714","0.0714285714285714"
"WekaMatchingRule","deezer_6852","spotify_40287","8.227872847458353E-4",,"bon jovi","puddle of mudd","bon jovi","puddle of mudd","0.0","0.0","complicated","control","complicated","control","0.18181818181818177","0.18181818181818177","2005-09-20T00:00","2001-08-28T00:00","2005-09-20T00:00","2001-08-28T00:00","0.0","0.0",,,"have a nice day","come clean","0.2666666666666667","0.2666666666666667"
"WekaMatchingRule","spotify_1614","deezer_16405",,"0","bnxn fka buju","""gigi dagostino""","bnxn fka buju","""gigi dagostino""","0.0","0.0","in my mind","in my mind","in my mind","in my mind","1.0","1.0","2022-08-24T00:00","2018-06-08T00:00","2022-08-24T00:00","2018-06-08T00:00","0.0","0.0",,,"bad since 97","in my mind","0.08333333333333337","0.08333333333333337"
"WekaMatchingRule","spotify_36375","deezer_90",,"0","everlast","harry nilsson","everlast","harry nilsson","0.0","0.0","the culling","spaceman","the culling","spaceman","0.18181818181818177","0.18181818181818177","2018-09-07T00:00","2000-05-31T00:00","2018-09-07T00:00","2000-05-31T00:00","0.0","0.0",,,"whitey fords house of pain","son of schmilsson","0.23076923076923073","0.23076923076923073"
"WekaMatchingRule","deezer_22334","spotify_13040","4.6310782065003174E-4",,"carly simon","roxette","carly simon","roxette","0.0","0.0","anticipation","anyone","anticipation","anyone","0.25","0.25","2008-01-21T00:00","1999-03-09T00:00","2008-01-21T00:00","1999-03-09T00:00","0.0","0.0",,,"anticipation","have a nice day","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","deezer_14931","spotify_3381","0.001289824145003901",,"ludovico einaudi","two feet","ludovico einaudi","two feet","0.0","0.0","fly","flatline","fly","flatline","0.25","0.25","2021-06-04T00:00","2021-04-16T00:00","2021-06-04T00:00","2021-04-16T00:00","1.0","1.0",,,"cinema","max maco is dead right","0.13636363636363635","0.13636363636363635"
"WekaMatchingRule","deezer_7704","spotify_31010","5.346769456405241E-4",,"the cranberries","summer walker","the cranberries","summer walker","0.0","0.0","bosnia","body","bosnia","body","0.33333333333333337","0.33333333333333337","2014-04-08T00:00","2019-10-04T00:00","2014-04-08T00:00","2019-10-04T00:00","0.0","0.0",,,"to the faithful departed","over it","0.16666666666666663","0.16666666666666663"
"WekaMatchingRule","deezer_10657","spotify_21406","8.024854900404318E-4",,"lovex","kai","lovex","kai","0.0","0.0","remorse","reason","remorse","reason","0.2857142857142857","0.2857142857142857","2007-02-16T00:00","2020-11-30T00:00","2007-02-16T00:00","2020-11-30T00:00","0.0","0.0",,,"divine insanity","kai  the 1st mini album","0.26086956521739135","0.26086956521739135"
"WekaMatchingRule","spotify_25924","deezer_15389",,"1","flo rida","flo rida","flo rida","flo rida","1.0","1.0","whistle","whistle","whistle","whistle","1.0","1.0","2012-04-24T00:00","2012-04-24T00:00","2012-04-24T00:00","2012-04-24T00:00","1.0","1.0",,,"whistle","whistle","1.0","1.0"
"WekaMatchingRule","deezer_150","spotify_18460","4.6310782065003174E-4",,"jamie foxx","leon creek","jamie foxx","leon creek","0.0","0.0","can i take u home (main)","call it a day","can i take u home ","call it a day","0.29166666666666663","0.29166666666666663","2005-12-20T00:00","2021-09-24T00:00","2005-12-20T00:00","2021-09-24T00:00","0.0","0.0",,,"unpredictable","far from broken","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","deezer_6122","spotify_29952","3.8569685397935423E-4",,"kelly clarkson","peach tree rascals","kelly clarkson","peach tree rascals","0.0","0.0","maybe","mariposa","maybe","mariposa","0.25","0.25","2007-06-22T00:00","2019-08-28T00:00","2007-06-22T00:00","2019-08-28T00:00","0.0","0.0",,,"my december","mariposa","0.09090909090909094","0.09090909090909094"
"WekaMatchingRule","deezer_16818","spotify_12876","4.136597385526973E-4",,"diztortion","jessie j","diztortion","jessie j","0.0","0.0","downfall","domino","downfall","domino","0.25","0.25","2020-04-02T00:00","2011-01-01T00:00","2020-04-02T00:00","2011-01-01T00:00","0.0","0.0",,,"downfall","who you are platinum edition","0.1071428571428571","0.1071428571428571"
"WekaMatchingRule","deezer_15180","spotify_22683","4.20797874624012E-4",,"sara bareilles","frankey & sandrino","sara bareilles","frankey & sandrino","0.0","0.0","brave","brainscan","brave","brainscan","0.33333333333333337","0.33333333333333337","2013-07-16T00:00","2022-09-30T00:00","2013-07-16T00:00","2022-09-30T00:00","0.0","0.0",,,"the blessed unrest","brainscan","0.11111111111111116","0.11111111111111116"
"WekaMatchingRule","deezer_11082","spotify_33609","6.003687892740744E-4",,"shawn mullins","suzanne vega","shawn mullins","suzanne vega","0.0","0.0","lullaby","luka","lullaby","luka","0.4285714285714286","0.4285714285714286","1998-09-15T00:00","2010-10-12T00:00","1998-09-15T00:00","2010-10-12T00:00","0.0","0.0",,,"souls core","closeup vol 2 people and places","0.19354838709677424","0.19354838709677424"
"WekaMatchingRule","deezer_14235","spotify_2449","3.8569685397935423E-4",,"travis scott","bon iver","travis scott","bon iver","0.0","0.0","houstonfornication","holocene","houstonfornication","holocene","0.2222222222222222","0.2222222222222222","2018-08-03T00:00","2022-03-25T00:00","2018-08-03T00:00","2022-03-25T00:00","0.0","0.0",,,"astroworld","bon iver 10th anniversary edition","0.09090909090909094","0.09090909090909094"
"WekaMatchingRule","spotify_31201","deezer_14624",,"1","kendrick lamar","kendrick lamar","kendrick lamar","kendrick lamar","1.0","1.0","fear.","fear.","fear","fear","1.0","1.0","2017-04-14T00:00","2017-04-14T00:00","2017-04-14T00:00","2017-04-14T00:00","1.0","1.0",,,"damn","damn","1.0","1.0"
"WekaMatchingRule","spotify_39279","deezer_15871",,"0","susan boyle","the sundays","susan boyle","the sundays","0.0","0.0","wild horses","wild horses","wild horses","wild horses","1.0","1.0","2009-11-20T00:00","2009-09-04T00:00","2009-11-20T00:00","2009-09-04T00:00","1.0","1.0",,,"i dreamed a dream","goodbye","0.11764705882352944","0.11764705882352944"
"WekaMatchingRule","spotify_10669","deezer_4699",,"1","failure","failure","failure","failure","1.0","1.0","another space song","another space song","another space song","another space song","1.0","1.0","1996-01-01T00:00","1996-08-13T00:00","1996-01-01T00:00","1996-08-13T00:00","1.0","1.0",,,"fantastic planet","fantastic planet","1.0","1.0"
"WekaMatchingRule","deezer_507","spotify_37962","9.819020797600308E-4",,"operation ivy","drake","operation ivy","drake","0.0","0.0","jaded","jaded","jaded","jaded","1.0","1.0","2007-11-05T00:00","2018-06-29T00:00","2007-11-05T00:00","2018-06-29T00:00","0.0","0.0",,,"operation ivy","scorpion","0.3076923076923077","0.3076923076923077"
"WekaMatchingRule","deezer_5295","spotify_16214","4.953310519877908E-4",,"del the funky homosapien","nick lloyd webber","del the funky homosapien","nick lloyd webber","0.0","0.0","madness","maps","madness","maps","0.4285714285714286","0.4285714285714286","2008-09-16T00:00","2022-05-13T00:00","2008-09-16T00:00","2022-05-13T00:00","0.0","0.0",,,"deltron 3030","the last bus original motion picture soundtrack","0.14893617021276595","0.14893617021276595"
"WekaMatchingRule","deezer_15976","spotify_22856","4.8251832021067723E-4",,"lizzo","juliet oliver","lizzo","juliet oliver","0.0","0.0","soulmate","sociopath","soulmate","sociopath","0.4444444444444444","0.4444444444444444","2019-04-19T00:00","2022-07-01T00:00","2019-04-19T00:00","2022-07-01T00:00","0.0","0.0",,,"cuz i love you","sociopath","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","spotify_944","deezer_18152",,"0","derek & the dominos","schürze","derek & the dominos","schürze","0.0","0.0","layla","layla","layla","layla","1.0","1.0","1970-11-01T00:00","2022-06-03T00:00","1970-11-01T00:00","2022-06-03T00:00","0.0","0.0",,,"layla and other assorted love songs remastered 2010","layla","0.0980392156862745","0.0980392156862745"
"WekaMatchingRule","deezer_16370","spotify_23411","4.3723727527151407E-4",,"taking back sunday","hidden element","taking back sunday","hidden element","0.0","0.0","makedamnsure","marevo","makedamnsure","marevo","0.25","0.25","2021-05-07T00:00","2022-04-01T00:00","2021-05-07T00:00","2022-04-01T00:00","0.0","0.0",,,"louder now deluxe edition","marevo","0.12","0.12"
"WekaMatchingRule","spotify_25086","deezer_19441",,"1","howard jones","howard jones","howard jones","howard jones","1.0","1.0","things can only get better","things can only get better","things can only get better","things can only get better","1.0","1.0","1993-01-01T00:00","2017-06-01T00:00","1993-01-01T00:00","2017-06-01T00:00","0.0","0.0",,,"best of","best of","1.0","1.0"
"WekaMatchingRule","spotify_24209","deezer_23995",,"1","the capitols","the capitols","the capitols","the capitols","1.0","1.0","cool jerk","cool jerk","cool jerk","cool jerk","1.0","1.0","1966-01-01T00:00","2012-01-01T00:00","1966-01-01T00:00","2012-01-01T00:00","0.0","0.0",,,"dance the cool jerk","dance the cool jerk","1.0","1.0"
"WekaMatchingRule","deezer_22133","spotify_23384","3.4123151132414703E-4",,"black sabbath","warpaint","black sabbath","warpaint","0.0","0.0","changes","champion","changes","champion","0.375","0.375","1975-12-01T00:00","2022-01-26T00:00","1975-12-01T00:00","2022-01-26T00:00","0.0","0.0",,,"we sold our soul for rock n roll","champion","0.0625","0.0625"
"WekaMatchingRule","spotify_38514","deezer_15025",,"1","jessie j","jessie j","jessie j","jessie j","1.0","1.0","masterpiece","masterpiece","masterpiece","masterpiece","1.0","1.0","2014-10-14T00:00","2014-10-14T00:00","2014-10-14T00:00","2014-10-14T00:00","1.0","1.0",,,"sweet talker deluxe version","sweet talker deluxe version","1.0","1.0"
"WekaMatchingRule","deezer_14850","spotify_15871","8.714502442058185E-4",,"the weeknd","the cold stares","the weeknd","the cold stares","0.0","0.0","in the night","in the night time","in the night","in the night time","0.7058823529411764","0.7058823529411764","2015-08-28T00:00","2021-08-13T00:00","2015-08-28T00:00","2021-08-13T00:00","0.0","0.0",,,"beauty behind the madness","heavy shoes","0.28","0.28"
"WekaMatchingRule","deezer_5295","spotify_18630","3.73302133624783E-4",,"del the funky homosapien","harry styles","del the funky homosapien","harry styles","0.0","0.0","madness","matilda","madness","matilda","0.2857142857142857","0.2857142857142857","2008-09-16T00:00","2022-05-20T00:00","2008-09-16T00:00","2022-05-20T00:00","0.0","0.0",,,"deltron 3030","harrys house","0.08333333333333337","0.08333333333333337"
"WekaMatchingRule","deezer_18067","spotify_19982","0.0016076133386883648",,"ambient fruits music","gabriel auer","ambient fruits music","gabriel auer","0.0","0.0","regret","retrouvailles","regret","retrouvailles","0.3076923076923077","0.3076923076923077","2022-08-25T00:00","2022-02-11T00:00","2022-08-25T00:00","2022-02-11T00:00","1.0","1.0",,,"sleep rain vol 1","retrouvailles","0.1875","0.1875"
"WekaMatchingRule","spotify_12582","deezer_15033",,"1","the weeknd","the weeknd","the weeknd","the weeknd","1.0","1.0","often","often","often","often","1.0","1.0","2015-08-28T00:00","2015-08-28T00:00","2015-08-28T00:00","2015-08-28T00:00","1.0","1.0",,,"beauty behind the madness","beauty behind the madness","1.0","1.0"
"WekaMatchingRule","spotify_36824","deezer_14927",,"1","rae sremmurd","rae sremmurd","rae sremmurd","rae sremmurd","1.0","1.0","this could be us","this could be us","this could be us","this could be us","1.0","1.0","2015-01-06T00:00","2015-01-06T00:00","2015-01-06T00:00","2015-01-06T00:00","1.0","1.0",,,"sremmlife","sremmlife","1.0","1.0"
"WekaMatchingRule","deezer_561","spotify_4739","6.79353769515922E-4",,"reel big fish","alan jackson","reel big fish","alan jackson","0.0","0.0","where have you been (live)","where have you gone","where have you been ","where have you gone","0.6538461538461539","0.6538461538461539","2006-07-18T00:00","2021-04-02T00:00","2006-07-18T00:00","2021-04-02T00:00","0.0","0.0",,,"our live album is better than your live album","where have you gone","0.2222222222222222","0.2222222222222222"
"WekaMatchingRule","deezer_20588","spotify_10851","5.480891738209548E-4",,"abba","passenger","abba","passenger","0.0","0.0","angeleyes","anywhere","angeleyes","anywhere","0.4444444444444444","0.4444444444444444","2014-04-07T00:00","2016-08-19T00:00","2014-04-07T00:00","2016-08-19T00:00","0.0","0.0",,,"abba gold anniversary edition","anywhere","0.1724137931034483","0.1724137931034483"
"WekaMatchingRule","spotify_38405","deezer_11846",,"0","j balvin","the fratellis","j balvin","the fratellis","0.0","0.0","ginza","a heady tale","ginza","a heady tale","0.08333333333333337","0.08333333333333337","2016-06-24T00:00","2008-06-09T00:00","2016-06-24T00:00","2008-06-09T00:00","0.0","0.0",,,"energía","here we stand other bps international","0.1351351351351351","0.1351351351351351"
"WekaMatchingRule","deezer_14044","spotify_38294","5.577585858649333E-4",,"ben kweller","kanye west","ben kweller","kanye west","0.0","0.0","falling","famous","falling","famous","0.2857142857142857","0.2857142857142857","2002-03-05T00:00","2016-06-10T00:00","2002-03-05T00:00","2016-06-10T00:00","0.0","0.0",,,"sha sha","the life of pablo","0.17647058823529416","0.17647058823529416"
"WekaMatchingRule","deezer_15580","spotify_38022","4.6310782065003174E-4",,"lil wayne","brett young","lil wayne","brett young","0.0","0.0","megaman","mercy","megaman","mercy","0.2857142857142857","0.2857142857142857","2021-08-27T00:00","2017-02-10T00:00","2021-08-27T00:00","2017-02-10T00:00","0.0","0.0",,,"tha carter iv complete edition","brett young","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","spotify_38525","deezer_15048",,"1","keith urban","keith urban","keith urban","keith urban","1.0","1.0","somewhere in my car","somewhere in my car","somewhere in my car","somewhere in my car","1.0","1.0","2013-09-10T00:00","2013-09-10T00:00","2013-09-10T00:00","2013-09-10T00:00","1.0","1.0",,,"fuse deluxe","fuse deluxe","1.0","1.0"
